juror,total_votes,votes_cast,votes_missed,vote_0,vote_1,vote_2,participation_rate
0x2aE7F36525D2F99C12b8698Fa588fdAD6cF04c19,1,1,0,0,0,0,1.0
0x2be87ce2a957859dacf460C507fa76aE80260b58,2,2,0,0,0,0,1.0
0x2c7Be4D348e1E75c4C557F400264944a1A564C52,2,1,1,0,0,0,0.5
0x2cB62f69D47921da5B0bdd5c650685a2ac9C3853,19,19,0,0,0,0,1.0
0x2e879c8F58A470ec71cfB8F49cf4513122E46964,33,29,4,0,0,0,0.8787878787878788
0x2eE1A0a239e27215740D93C1aF6D4395BD9387ba,2,2,0,0,0,0,1.0
0x2ecbA8098C7C112532F02F2295b0df0732b96527,1,0,1,0,0,0,0.0
0x2fF064D951996C9fe70d6Ba22D8684F37B2e24eC,15,15,0,0,0,0,1.0
0x30441c238e465b5E4B2AAbE0DA93B5Ae3bbD1a1e,1,1,0,0,0,0,1.0
0x3085F25455B821EeDCFf10433fee6723d34c2426,22,21,1,0,0,0,0.9545454545454546
0x31c906774Fa676fE97F615C3D5aFea8AEC72Bf78,2,2,0,0,0,0,1.0
0x33235Db0D76c26E6238EEb2cFd8B127A94202e5C,6,4,2,0,0,0,0.6666666666666666
0x333664b584D61DCd0AC937d586293FC76649324e,1,1,0,0,0,0,1.0
0x334F12AfB7D8740868bE04719639616533075234,107,104,3,0,0,0,0.9719626168224299
0x33CaF240767cF48acFae99c9A3Dd2b8e7164d89C,5,5,0,0,0,0,1.0
0x34Bec78b6d155e14060b3a38a8497D560F45D30e,202,200,2,0,0,0,0.9900990099009901
0x34f9D269869851DBCe1Ba159053A30353C9FB95f,1,0,1,0,0,0,0.0
0x3590AC9cF1ec55d1FB86993718EFabf9F1B9373A,4,4,0,0,0,0,1.0
0x369D5fEB8C7C55373Cf5be8C0b1180EA272c85c6,2,2,0,0,0,0,1.0
0x375eAbB196a2D27A23Aa7b410E391b970273c484,1,0,1,0,0,0,0.0
0x379E9883833baF8402414BEF58858cC8c84624d9,11,9,2,0,0,0,0.8181818181818182
0x39d94eD8102740E8Fad63E55473a466Aa20e0983,3,2,1,0,0,0,0.6666666666666666
0x3A10e4702A43663Ec7C77E40f8Ef08027b50906b,1,0,1,0,0,0,0.0
0x3A38dba307b17512B781d478fB95Dd1CD376c187,27,27,0,0,0,0,1.0
0x3F462891248545b596C435c8EDCADECe67DA172f,8,7,1,0,0,0,0.875
0x3b1356CA97A31b3a2DAd0e901b9F73380e00B66D,2,2,0,0,0,0,1.0
0x3b247Ce9390E4AB3FaCbBB2f4590a82B6C7dDb40,18,12,6,0,0,0,0.6666666666666666
0x3c9190Ec05FAA31C57F6145EA7092bcE4FC77A85,25,25,0,0,0,0,1.0
0x3eaD180Ae502757Fc6E444E4Cf3d861FE27fe0AC,1,1,0,0,0,0,1.0
0x404bC8c36188CB2A0E20EB49E4f2C7F12Dd15CE1,1,0,1,0,0,0,0.0
0x41D0fb81f19F67B15cf71F4A3997F08321A614F6,2,2,0,0,0,0,1.0
0x421E4A2A857f7d7dA4fbD96D6268BAF8E5256eEc,1,1,0,0,0,0,1.0
0x42570FC66122cDC5951B843E741EfA99cbDaD21B,2,2,0,0,0,0,1.0
0x42c1Bd0d85F6A3b04E80FAde8be68B406f36D1B3,6,6,0,0,0,0,1.0
0x444804E050961823d66c60CAD8ce7C8Bf80ee7C2,2,1,1,0,0,0,0.5
0x44F096E9190314Bc851eE8c75A9024F42b1E0043,2,1,1,0,0,0,0.5
0x45340796dB27e919783f2DE329A87776b14e1Ca2,1,1,0,0,0,0,1.0
0x45AB2a3cE2e2bB780396De68351e1497DD66E1e8,4,3,1,0,0,0,0.75
0x46FC87fC5a722f91651AECA1dFBB8bE46ACEb101,1,0,1,0,0,0,0.0
0x46fd7e91400833E8AdbEb65E8231718cdd74fa83,2,1,1,0,0,0,0.5
0x47272EF33eB2E19F9051A4040d896bCF0aD764bd,1,1,0,0,0,0,1.0
0x477ADf27A761167484aECCbE08b9D30Aaa12863E,19,17,2,0,0,0,0.8947368421052632
0x48909739001FA130Ea554D45508714824C2467B5,34,32,2,0,0,0,0.9411764705882353
0x4897A206023d9045Bd8f9B36a0CE27542dc86343,1,1,0,0,0,0,1.0
0x48E2A511E5956e5b3f321C43D8dDec68Ef9aE94e,1,0,1,0,0,0,0.0
0x48c49024E2885679D0c9Eb3d4d6e73f2542B5839,1,0,1,0,0,0,0.0
0x4920a95670B6282951813a94D9066A730D315df3,6,5,1,0,0,0,0.8333333333333334
